nombre,deporte,edad,peso_kg,altura_cm,frecuencia_cardiaca_bpm,horas_entrenamiento_semana,rendimiento_score,posicion
Nicolás Reyes,CICLISMO,39.0,77.6,174.0,53.0,8.1,1.6,CICLISTA
Héctor Suárez,BALONCESTO,29.0,98.7,184.0,86.0,19.5,2.76,NADADOR
Catalina Mora,NATACIÓ,40.0,93.0,179.5212464589235,60.0,14.6,1.04,DEFENSA
Felipe Muñoz,NATACION,20.0,57.6,184.0,53.0,12.8,4.79,MEDIOCAMPISTA
Francisca Lagos,VOLEIBOL,21.0,64.3,167.0,65.0,7.7,1.6,PORTERO
Ignacio Peña,RUGBY,30.0,61.7,185.0,77.0,18.2,6.92,CORREDOR
Enrique Valenzuela,FUTBOL,23.0,73.6,186.0,71.0,15.9,1.18,PORTERO
Carolina Ríos,NATACION,23.0,77.5,165.0,82.0,16.4,8.32,ATACANTE
Pedro Rodríguez,VOLEIBOL,37.0,75.1,185.0,89.0,20.9,2.81,PORTERO
Pilar Contreras,RUGBY,21.0,80.09667630057803,197.0,45.0,4.1,3.94,NADADOR
Ignacio Peña,TENIS,29.0,77.4,164.0,82.0,13.7,9.98,ATACANTE
Paola Romero,ATLETISMO,31.0,98.0,158.0,84.0,11.9,4.11,MEDIOCAMPISTA
Francisca Lagos,NATACION,43.0,77.9,177.0,46.0,24.7,8.19,NADADOR
Paola Romero,NATACION,31.0,84.8,182.0,68.0,12.9,4.69,CORREDOR
Felipe Muñoz,TENNIS,20.0,85.6,179.5212464589235,5.0,16.1,5.28,DEFENSA
Mauricio Vega,FUTBOL,38.0,64.5,196.0,65.0,4.5,-5.0,DEFENSA
César Sepúlveda,NATACION,28.0,97.5,280.0,78.0,6.7,3.83,MEDIOCAMPISTA
Camila Díaz,TENIS,26.0,69.1,173.0,57.0,24.7,5.57,DELANTERO
Matías Silva,ATLETISMO,28.0,62.9,164.0,68.0,16.6,2.07,CICLISTA
Pedro Rodríguez,ATLETISMO,18.0,81.9,199.0,62.0,9.0,5.51,NADADOR
Roxana Salinas,ATLETISMO,44.0,94.8,200.0,52.0,3.3,9.43,CORREDOR
Sofía Hernández,FUTBOL,44.0,79.0,202.0,55.0,23.0,2.7,CORREDOR
Lorena Mendoza,TENIS,3.0,79.6,202.0,62.0,8.4,6.29,PORTERO
Lorena Mendoza,RUGBY,38.0,90.4,198.0,88.0,12.4,2.06,CORREDOR
Patricio Bravo,FUTBOL,28.0,75.8,181.0,85.0,22.8,4.78,NADADOR
Camila Díaz,FUTBOL,39.0,75.4,161.0,58.0,22.6,6.48,PORTERO
Gonzalo Fuentes,FUTBOL,3.0,97.6,186.0,75.0,18.2,1.93,PORTERO
Ignacio Peña,CICLISMO,25.0,84.4,176.0,78.0,24.9,2.7,ATACANTE
Felipe Muñoz,ATLETISMO,20.0,61.8,171.0,10.0,13.3,4.85,NADADOR
Javiera Espinoza,VOLEIBOL,37.0,80.09667630057803,174.0,63.0,17.6,5.35,DEFENSA
Alicia Campos,NATACION,16.0,88.6,194.0,52.0,21.8,2.85,CORREDOR
Pedro Rodríguez,FUTBOL,41.0,68.6,178.0,62.0,8.9,3.39,CORREDOR
Enrique Valenzuela,NATACION,43.0,73.8,179.0,48.0,8.6,9.11,CICLISTA
Alicia Campos,VOLEIBOL,22.0,65.9,190.0,51.0,12.3,9.86,
César Sepúlveda,VOLEIBOL,24.0,64.5,191.0,60.0,13.2,6.71,DEFENSA
Claudia Herrera,BASKETBALL,36.0,80.09667630057803,197.0,84.0,21.0,8.67,DELANTERO
Héctor Suárez,NATACION,33.0,71.7,164.0,5.0,19.2,4.67,CICLISTA
Alejandro Núñez,NATACION,25.0,62.2,167.0,56.0,10.2,6.01,DEFENSA
Patricia Ramos,CICLISMO,44.0,78.3,184.0,54.0,9.5,6.88,MEDIOCAMPISTA
Claudia Herrera,VOLEIBOL,26.0,76.5,183.0,81.0,11.6,2.43,DEFENSA
Alicia Campos,CICLISMO,37.0,67.6,160.0,64.0,4.9,2.52,
Mónica Ortega,NATACION,36.0,62.4,179.5212464589235,72.0,13.9,5.12,DELANTERO
Ignacio Peña,BALONCESTO,30.0,84.6,189.0,89.0,15.2,5.66,DEFENSA
Natalia Cruz,BASKETBALL,31.0,99.3,176.0,82.0,22.5,3.28,MEDIOCAMPISTA
Diego Torres,ATLETISMO,31.0,104.5,163.0,68.0,4.4,3.67,NADADOR
Gonzalo Fuentes,CICLISMO,20.0,67.7,171.0,48.0,8.3,1.24,DELANTERO
Diego Torres,ATLETISMO,22.0,89.5,202.0,74.0,5.9,2.25,NADADOR
Pilar Contreras,RUGBY,29.0,76.7,30.0,54.0,6.6,7.44,ATACANTE
Luis Parra,VOLEIBOL,23.0,91.8,161.0,64.0,6.7,9.13,NADADOR
Natalia Cruz,FUTBOL,33.0,67.7,181.0,57.0,16.3,6.29,CICLISTA
Andrés Flores,ATLETISMO,27.0,89.6,169.0,69.75212464589235,11.9,8.67,DELANTERO
Juan López,FUTBOL,32.0,80.09667630057803,202.0,60.0,18.2,3.15,DELANTERO
Carlos Pérez,FUTBOL,35.0,105.0,176.0,69.75212464589235,9.6,6.01,PORTERO
María González,BOXEO,38.0,78.0,164.0,89.0,13.866635071090046,2.92,CICLISTA
Sofía Hernández,FUTBOL,28.0,61.1,166.0,300.0,14.6,2.23,PORTERO
Marisol Figueroa,NATACIÓ,32.0,62.9,181.0,55.0,7.9,9.15,DELANTERO
Patricio Bravo,RUGBY,31.050934579439254,82.4,199.0,69.0,5.2,8.45,DELANTERO
Luis Parra,NATACIÓ,32.0,82.0,202.0,300.0,23.2,1.22,MEDIOCAMPISTA
César Sepúlveda,TENNIS,26.0,94.8,193.0,78.0,15.9,7.78,CICLISTA
Francisca Lagos,RUGBY,20.0,76.7,174.0,53.0,23.7,1.91,NADADOR
Luis Parra,VOLEIBOL,31.050934579439254,89.4,175.0,50.0,6.6,3.11,CICLISTA
Ignacio Peña,CICLISMO,20.0,103.0,169.0,45.0,15.4,5.76,PORTERO
Alicia Campos,BALONCESTO,45.0,88.0,183.0,63.0,17.9,4.36,DELANTERO
Ignacio Peña,BASKETBALL,36.0,75.7,177.0,75.0,13.866635071090046,2.4,CORREDOR
Roberto Castillo,ATLETISMO,32.0,103.5,173.0,83.0,11.3,8.0,
Cristian Medina,TENIS,36.0,89.9,189.0,65.0,3.9,5.583822014051522,MEDIOCAMPISTA
Paola Romero,VOLEIBOL,19.0,73.2,183.0,55.0,15.7,1.99,DELANTERO
Natalia Cruz,FUTBOL,16.0,99.2,160.0,79.0,8.0,1.42,CORREDOR
Verónica Aguilar,FUTBOL,35.0,63.1,168.0,68.0,12.8,5.81,PORTERO
Paola Romero,FUTBOL,37.0,68.7,187.0,69.75212464589235,23.7,6.01,DEFENSA
Juan López,NATACIÓ,18.0,94.6,186.0,47.0,8.5,5.87,
Alejandro Núñez,BALONCESTO,16.0,99.6,175.0,70.0,6.0,7.27,ATACANTE
Mauricio Vega,BOXEO,34.0,87.6,175.0,69.75212464589235,21.2,8.59,NADADOR
Ana Martínez,ATLETISMO,38.0,91.6,30.0,83.0,7.8,7.29,DEFENSA
Sofía Hernández,NATACION,36.0,56.5,182.0,45.0,16.5,1.17,
Juan López,BASKETBALL,23.0,89.3,183.0,74.0,17.1,9.9,ATACANTE
María González,BOXEO,34.0,86.3,30.0,59.0,22.3,8.5,DEFENSA
Gabriela Morales,FUTBOL,40.0,98.7,172.0,52.0,17.3,2.62,
Luis Parra,VOLEIBOL,38.0,82.9,161.0,73.0,3.7,7.12,DELANTERO
Francisca Lagos,VOLEIBOL,29.0,97.4,165.0,65.0,16.8,4.37,NADADOR
Francisca Lagos,NATACION,20.0,82.9,170.0,69.75212464589235,8.5,5.88,NADADOR
Luis Parra,BALONCESTO,34.0,58.8,183.0,62.0,21.8,9.08,DEFENSA
Andrés Flores,NATACION,38.0,71.5,182.0,89.0,13.866635071090046,5.29,MEDIOCAMPISTA
Verónica Aguilar,BOXEO,41.0,64.0,172.0,48.0,4.5,9.79,MEDIOCAMPISTA
Alejandro Núñez,BALONCESTO,43.0,77.2,196.0,81.0,14.7,1.81,PORTERO
Héctor Suárez,BOXEO,31.050934579439254,80.09667630057803,186.0,53.0,19.3,6.71,DELANTERO
Natalia Cruz,NATACION,33.0,69.4,179.5212464589235,69.75212464589235,4.2,1.01,PORTERO
Pilar Contreras,CICLISMO,19.0,102.6,169.0,58.0,17.7,9.96,NADADOR
Marisol Figueroa,NATACION,3.0,86.7,160.0,46.0,10.6,4.67,DEFENSA
Pedro Rodríguez,BASKETBALL,28.0,74.6,179.0,60.0,6.0,1.03,DEFENSA
Natalia Cruz,VOLEIBOL,35.0,65.5,178.0,70.0,10.1,3.19,ATACANTE
Patricio Bravo,BALONCESTO,30.0,67.9,196.0,52.0,16.1,8.42,PORTERO
Sebastián Rojas,FUTBOL,30.0,60.0,196.0,52.0,17.2,2.28,CICLISTA
Héctor Suárez,NATACION,17.0,81.0,173.0,68.0,24.4,4.69,DELANTERO
Gabriela Morales,TENNIS,16.0,100.5,165.0,77.0,14.9,9.89,NADADOR
Mauricio Vega,FUTBOL,20.0,80.09667630057803,168.0,47.0,18.1,2.09,ATACANTE
Héctor Suárez,TENNIS,26.0,56.3,162.0,66.0,5.1,6.64,PORTERO
Gonzalo Fuentes,FUTBOL,31.050934579439254,64.2,188.0,54.0,6.5,3.22,MEDIOCAMPISTA
Tomás Gutiérrez,TENIS,19.0,64.1,201.0,65.0,9.6,3.32,
Carolina Ríos,VOLEIBOL,44.0,98.9,189.0,48.0,9.9,1.08,CORREDOR
Juan López,CICLISMO,44.0,92.3,183.0,78.0,21.7,7.02,CICLISTA
Pedro Rodríguez,FUTBOL,26.0,85.3,181.0,73.0,3.5,7.31,DELANTERO
Andrés Flores,FUTBOL,43.0,55.0,198.0,66.0,13.1,5.23,DEFENSA
Lorena Mendoza,ATLETISMO,43.0,97.4,168.0,78.0,16.7,7.43,MEDIOCAMPISTA
Patricio Bravo,VOLEIBOL,45.0,88.4,171.0,87.0,21.6,2.45,NADADOR
Natalia Cruz,NATACIÓ,29.0,67.9,164.0,63.0,13.866635071090046,7.68,
Carlos Pérez,VOLEIBOL,33.0,87.7,179.5212464589235,69.0,14.2,7.48,CICLISTA
Isabella Castro,FUTBOL,22.0,91.8,175.0,79.0,20.0,1.44,CICLISTA
Mónica Ortega,BOXEO,45.0,79.5,161.0,76.0,24.2,4.74,
Sebastián Rojas,NATACIÓ,39.0,84.9,186.0,68.0,14.1,4.28,CORREDOR
Ana Martínez,FUTBOL,41.0,71.0,180.0,88.0,22.6,8.51,DELANTERO
Pedro Rodríguez,NATACION,32.0,60.2,168.0,55.0,11.3,5.92,ATACANTE
Patricio Bravo,TENNIS,36.0,97.3,187.0,58.0,17.4,15.0,CORREDOR
Matías Silva,RUGBY,27.0,61.7,169.0,53.0,12.0,3.0,CICLISTA
Mauricio Vega,BOXEO,44.0,83.8,192.0,59.0,8.1,7.34,CORREDOR
Felipe Muñoz,BALONCESTO,23.0,89.9,188.0,65.0,3.1,4.78,PORTERO
Roberto Castillo,FUTBOL,17.0,79.2,174.0,87.0,17.0,2.54,ATACANTE
Manuel Leal,VOLEIBOL,33.0,88.9,181.0,89.0,7.0,3.82,
Pilar Contreras,BALONCESTO,40.0,80.09667630057803,199.0,69.75212464589235,15.4,5.38,NADADOR
Camila Díaz,VOLEIBOL,39.0,57.5,198.0,72.0,16.1,5.583822014051522,CICLISTA
Tomás Gutiérrez,BOXEO,36.0,56.2,171.0,86.0,21.5,8.87,NADADOR
Roberto Castillo,NATACION,27.0,93.9,193.0,60.0,19.4,7.6,CICLISTA
Camila Díaz,NATACION,33.0,87.9,161.0,57.0,17.1,6.4,
Pedro Rodríguez,ATLETISMO,26.0,56.1,186.0,5.0,4.2,4.84,CORREDOR
Nicolás Reyes,CICLISMO,26.0,81.0,186.0,82.0,23.2,8.04,DELANTERO
Valentina Ramírez,TENIS,41.0,83.2,160.0,59.0,3.5,5.12,DELANTERO
Marisol Figueroa,BOXEO,40.0,70.8,202.0,82.0,6.0,9.29,DEFENSA
Sofía Hernández,BALONCESTO,35.0,100.9,179.5212464589235,56.0,18.1,2.17,MEDIOCAMPISTA
María González,VOLEIBOL,25.0,78.9,168.0,85.0,12.1,2.03,DELANTERO
Diego Torres,VOLEIBOL,38.0,93.2,181.0,69.0,8.4,9.0,PORTERO
Valentina Ramírez,ATLETISMO,16.0,61.2,193.0,50.0,11.0,1.0,PORTERO
Felipe Muñoz,FUTBOL,25.0,57.5,179.5212464589235,60.0,21.8,5.19,DEFENSA
Pedro Rodríguez,VOLEIBOL,39.0,81.4,193.0,52.0,6.1,6.53,MEDIOCAMPISTA
Sebastián Rojas,RUGBY,38.0,81.5,167.0,48.0,14.2,4.49,DEFENSA
Enrique Valenzuela,BALONCESTO,17.0,67.4,182.0,85.0,13.866635071090046,2.73,CICLISTA
Patricia Ramos,NATACIÓ,29.0,93.5,198.0,79.0,11.9,2.41,
Fernanda Jiménez,ATLETISMO,36.0,76.6,179.5212464589235,68.0,21.4,8.17,PORTERO
Gabriela Morales,FUTBOL,25.0,74.1,179.5212464589235,58.0,6.2,6.84,PORTERO
Luis Parra,FUTBOL,28.0,73.7,158.0,87.0,5.1,1.4,NADADOR
Alejandro Núñez,VOLEIBOL,39.0,104.3,199.0,50.0,19.2,8.97,ATACANTE
Catalina Mora,VOLEIBOL,43.0,102.5,169.0,53.0,3.4,8.61,DELANTERO
Matías Silva,VOLEIBOL,42.0,100.1,202.0,66.0,24.1,7.14,DEFENSA
Patricia Ramos,CICLISMO,44.0,84.2,162.0,79.0,4.9,7.44,DEFENSA
Claudia Herrera,FUTBOL,19.0,103.1,170.0,53.0,13.866635071090046,8.28,DELANTERO
Mónica Ortega,RUGBY,39.0,70.3,180.0,52.0,19.0,8.77,ATACANTE
Carlos Pérez,VOLEIBOL,17.0,92.5,161.0,79.0,13.866635071090046,8.81,ATACANTE
Natalia Cruz,FUTBOL,19.0,83.7,201.0,63.0,23.5,6.54,
Marisol Figueroa,NATACION,20.0,83.6,187.0,81.0,6.9,4.3,DEFENSA
Roberto Castillo,NATACION,41.0,66.5,158.0,63.0,21.1,4.18,
Ana Martínez,TENNIS,34.0,90.8,197.0,73.0,19.5,6.95,CORREDOR
Sofía Hernández,CICLISMO,16.0,95.3,195.0,64.0,9.0,8.65,DELANTERO
Enrique Valenzuela,NATACION,37.0,62.9,181.0,72.0,20.1,3.62,CICLISTA
Carlos Pérez,VOLEIBOL,41.0,61.8,185.0,76.0,21.4,1.22,DELANTERO
Enrique Valenzuela,NATACIÓ,33.0,75.0,169.0,45.0,14.6,9.06,
Tomás Gutiérrez,TENIS,39.0,68.4,183.0,75.0,4.2,4.07,DEFENSA
Gonzalo Fuentes,TENIS,35.0,60.9,188.0,62.0,11.4,6.1,
Ignacio Peña,FUTBOL,43.0,68.9,194.0,75.0,5.1,7.56,CICLISTA
Luis Parra,CICLISMO,29.0,80.09667630057803,178.0,87.0,5.1,9.17,MEDIOCAMPISTA
Verónica Aguilar,CICLISMO,19.0,92.2,169.0,48.0,10.6,4.45,DEFENSA
Gabriela Morales,FUTBOL,40.0,86.8,177.0,71.0,8.7,4.08,ATACANTE
César Sepúlveda,BASKETBALL,33.0,74.4,174.0,60.0,6.5,6.8,ATACANTE
Patricia Ramos,NATACION,4.0,85.4,200.0,85.0,8.3,7.12,DEFENSA
Diego Torres,BOXEO,27.0,86.9,181.0,82.0,13.866635071090046,4.59,NADADOR
Daniela Vargas,BALONCESTO,24.0,96.5,179.5212464589235,66.0,19.4,3.95,
Gonzalo Fuentes,CICLISMO,17.0,103.6,192.0,55.0,15.4,1.03,CORREDOR
Carlos Pérez,VOLEIBOL,26.0,92.6,195.0,69.75212464589235,6.4,6.43,CORREDOR
Francisca Lagos,BOXEO,28.0,86.8,199.0,51.0,8.1,3.44,DELANTERO
Mauricio Vega,BASKETBALL,39.0,76.6,177.0,75.0,19.0,3.55,DELANTERO
Diego Torres,BALONCESTO,19.0,78.3,174.0,89.0,4.6,1.09,DEFENSA
Ana Martínez,NATACIÓ,33.0,69.6,201.0,71.0,22.1,7.4,
Ignacio Peña,CICLISMO,19.0,80.09667630057803,184.0,57.0,7.7,7.81,DELANTERO
Patricio Bravo,NATACIÓ,25.0,103.0,202.0,46.0,6.2,4.91,PORTERO
Sebastián Rojas,BASKETBALL,20.0,85.6,158.0,73.0,16.8,8.17,ATACANTE
Verónica Aguilar,NATACIÓ,29.0,82.2,196.0,69.75212464589235,21.6,3.96,CORREDOR
Nicolás Reyes,VOLEIBOL,31.050934579439254,56.2,170.0,69.75212464589235,23.3,6.61,PORTERO
Claudia Herrera,BOXEO,44.0,91.3,177.0,63.0,20.6,6.79,PORTERO
Claudia Herrera,BALONCESTO,30.0,93.2,186.0,63.0,13.1,6.14,DEFENSA
Mónica Ortega,BALONCESTO,26.0,101.4,178.0,70.0,20.4,6.05,DELANTERO
Verónica Aguilar,VOLEIBOL,39.0,70.0,199.0,60.0,10.3,6.67,DEFENSA
Ignacio Peña,ATLETISMO,19.0,66.8,187.0,84.0,11.8,4.68,CORREDOR
Carlos Pérez,TENNIS,20.0,104.9,197.0,45.0,19.5,8.41,
Sofía Hernández,BALONCESTO,39.0,97.0,186.0,63.0,6.5,9.19,MEDIOCAMPISTA
Carlos Pérez,TENIS,41.0,91.8,179.5212464589235,78.0,21.4,7.9,MEDIOCAMPISTA
Eduardo Soto,VOLEIBOL,28.0,88.3,170.0,87.0,13.2,3.76,MEDIOCAMPISTA
Verónica Aguilar,VOLEIBOL,24.0,77.6,165.0,53.0,18.2,7.22,CORREDOR
Mónica Ortega,CICLISMO,17.0,85.4,179.5212464589235,46.0,5.3,8.12,PORTERO
Sebastián Rojas,VOLEIBOL,32.0,91.1,167.0,82.0,24.7,9.99,PORTERO
Francisca Lagos,BASKETBALL,28.0,61.7,170.0,45.0,21.5,5.68,DELANTERO
Daniela Vargas,CICLISMO,20.0,103.8,165.0,47.0,7.7,4.01,DELANTERO
Cristian Medina,VOLEIBOL,35.0,64.7,173.0,51.0,20.8,7.06,ATACANTE
Juan López,CICLISMO,29.0,80.09667630057803,182.0,85.0,12.4,1.99,MEDIOCAMPISTA
Claudia Herrera,RUGBY,16.0,83.8,185.0,64.0,16.4,5.583822014051522,DELANTERO
Daniela Vargas,TENNIS,42.0,70.9,168.0,51.0,14.3,4.98,DEFENSA
Valentina Ramírez,NATACION,28.0,85.6,177.0,79.0,5.2,4.25,DELANTERO
Juan López,FUTBOL,37.0,70.5,165.0,59.0,5.7,6.65,DELANTERO
César Sepúlveda,NATACION,26.0,91.9,179.5212464589235,88.0,13.866635071090046,9.63,CORREDOR
Ignacio Peña,VOLEIBOL,24.0,67.5,191.0,60.0,22.8,2.3,ATACANTE
Lorena Mendoza,FUTBOL,32.0,89.0,183.0,84.0,19.9,5.583822014051522,ATACANTE
Daniela Vargas,TENIS,16.0,57.4,161.0,79.0,19.7,6.08,DELANTERO
Rodrigo Sandoval,CICLISMO,16.0,70.7,184.0,66.0,17.8,8.88,CICLISTA
Marisol Figueroa,CICLISMO,31.0,101.7,201.0,70.0,20.7,4.12,NADADOR
Alejandro Núñez,BALONCESTO,17.0,57.0,177.0,68.0,20.6,3.24,CICLISTA
Valentina Ramírez,VOLEIBOL,45.0,91.8,180.0,63.0,3.8,8.62,CORREDOR
Roxana Salinas,CICLISMO,28.0,91.2,181.0,81.0,24.0,3.88,DEFENSA
Juan López,CICLISMO,31.050934579439254,97.4,172.0,54.0,5.3,4.0,MEDIOCAMPISTA
Cristian Medina,RUGBY,27.0,90.2,185.0,63.0,17.3,5.39,DEFENSA
Lorena Mendoza,NATACION,39.0,100.6,183.0,83.0,21.3,2.1,DEFENSA
Sofía Hernández,FUTBOL,20.0,102.8,175.0,86.0,12.8,3.09,MEDIOCAMPISTA
Lorena Mendoza,FUTBOL,39.0,100.6,194.0,47.0,12.2,5.31,DEFENSA
Enrique Valenzuela,ATLETISMO,28.0,57.0,158.0,73.0,24.6,6.08,DELANTERO
Marisol Figueroa,CICLISMO,20.0,88.1,180.0,85.0,20.4,3.78,ATACANTE
Paola Romero,FUTBOL,27.0,79.3,175.0,61.0,9.3,1.44,CORREDOR
Ana Martínez,CICLISMO,22.0,92.4,202.0,84.0,10.2,4.15,CORREDOR
Andrés Flores,FUTBOL,17.0,65.0,192.0,86.0,20.2,4.31,
Lorena Mendoza,FUTBOL,28.0,87.8,195.0,64.0,11.6,4.39,ATACANTE
Héctor Suárez,NATACION,16.0,104.6,190.0,62.0,13.866635071090046,7.78,CORREDOR
Sebastián Rojas,RUGBY,36.0,66.0,179.5212464589235,63.0,23.7,4.7,DEFENSA
Marisol Figueroa,NATACION,21.0,66.8,197.0,57.0,17.3,6.98,
Eduardo Soto,ATLETISMO,35.0,69.7,190.0,45.0,14.9,5.583822014051522,MEDIOCAMPISTA
Ricardo Álvarez,VOLEIBOL,34.0,60.6,184.0,84.0,5.1,5.95,DELANTERO
Javiera Espinoza,NATACIÓ,30.0,80.09667630057803,198.0,71.0,16.4,5.04,PORTERO
Pilar Contreras,BASKETBALL,32.0,63.3,175.0,58.0,8.7,4.75,
María González,ATLETISMO,29.0,69.4,199.0,69.75212464589235,24.4,8.69,CICLISTA
Marisol Figueroa,NATACION,41.0,78.4,178.0,78.0,17.9,-5.0,PORTERO
Juan López,VOLEIBOL,44.0,98.4,175.0,53.0,13.5,7.18,DEFENSA
Javiera Espinoza,BASKETBALL,32.0,77.1,175.0,65.0,19.5,7.58,DEFENSA
Tomás Gutiérrez,FUTBOL,44.0,58.6,179.5212464589235,86.0,20.2,2.01,CORREDOR
Enrique Valenzuela,BASKETBALL,28.0,58.1,175.0,62.0,12.0,3.8,CORREDOR
Gabriela Morales,BALONCESTO,38.0,85.0,179.5212464589235,89.0,3.5,4.93,NADADOR
Mónica Ortega,BOXEO,22.0,90.0,201.0,45.0,12.7,6.85,NADADOR
Héctor Suárez,TENNIS,37.0,82.6,188.0,67.0,6.0,8.05,DEFENSA
Gabriela Morales,TENIS,31.050934579439254,95.2,180.0,69.75212464589235,24.9,1.18,CICLISTA
Patricia Ramos,TENNIS,17.0,72.0,194.0,85.0,16.4,1.19,MEDIOCAMPISTA
Patricio Bravo,TENNIS,24.0,80.09667630057803,178.0,81.0,18.2,7.01,DEFENSA
Nicolás Reyes,CICLISMO,17.0,81.7,163.0,57.0,23.2,5.27,CORREDOR
Sofía Hernández,TENNIS,34.0,98.5,162.0,77.0,10.7,1.93,PORTERO
Nicolás Reyes,NATACION,16.0,83.7,179.0,63.0,0.1,8.01,DELANTERO
César Sepúlveda,BASKETBALL,30.0,83.8,173.0,57.0,6.3,9.96,
Diego Torres,CICLISMO,34.0,60.0,199.0,85.0,21.0,3.54,
Matías Silva,VOLEIBOL,40.0,66.7,202.0,79.0,17.4,5.01,PORTERO
Enrique Valenzuela,RUGBY,43.0,60.5,197.0,47.0,6.6,5.56,CICLISTA
Manuel Leal,NATACION,41.0,85.7,182.0,69.75212464589235,23.9,1.16,DELANTERO
Rodrigo Sandoval,TENIS,36.0,68.3,179.0,73.0,13.3,-5.0,ATACANTE
Luis Parra,VOLEIBOL,20.0,87.6,192.0,72.0,9.7,5.49,
Mónica Ortega,NATACION,33.0,70.4,196.0,76.0,7.8,8.29,ATACANTE
Camila Díaz,ATLETISMO,41.0,59.9,168.0,57.0,12.8,5.24,NADADOR
Camila Díaz,TENNIS,20.0,69.0,183.0,75.0,23.2,5.583822014051522,CICLISTA
Cristian Medina,ATLETISMO,45.0,76.2,200.0,75.0,10.7,7.78,PORTERO
Roxana Salinas,VOLEIBOL,40.0,74.4,185.0,63.0,11.9,3.2,DELANTERO
María González,NATACION,26.0,91.4,184.0,45.0,5.6,9.68,MEDIOCAMPISTA
Gabriela Morales,VOLEIBOL,41.0,69.2,173.0,57.0,24.6,8.98,CORREDOR
Luis Parra,CICLISMO,38.0,102.3,174.0,67.0,13.866635071090046,7.85,DEFENSA
Diego Torres,ATLETISMO,28.0,55.6,160.0,73.0,20.9,4.52,PORTERO
Felipe Muñoz,FUTBOL,20.0,90.1,171.0,80.0,5.0,1.28,DELANTERO
Daniela Vargas,VOLEIBOL,26.0,92.5,196.0,62.0,7.2,8.0,NADADOR
Héctor Suárez,RUGBY,3.0,61.0,168.0,83.0,21.4,3.99,DELANTERO
Claudia Herrera,NATACION,32.0,80.09667630057803,179.5212464589235,78.0,14.3,9.92,ATACANTE
Marcela Varela,FUTBOL,24.0,73.0,164.0,65.0,23.3,4.64,ATACANTE
Héctor Suárez,CICLISMO,41.0,69.5,159.0,60.0,17.8,5.23,DEFENSA
Francisca Lagos,VOLEIBOL,31.050934579439254,91.1,198.0,67.0,10.3,6.98,
Mauricio Vega,CICLISMO,28.0,102.0,162.0,350.0,24.8,9.97,CICLISTA
Natalia Cruz,TENNIS,31.050934579439254,80.09667630057803,190.0,71.0,11.8,5.65,CORREDOR
Lorena Mendoza,ATLETISMO,28.0,104.9,191.0,69.0,14.8,5.13,MEDIOCAMPISTA
Fernanda Jiménez,NATACIÓ,29.0,68.1,185.0,73.0,15.6,2.99,ATACANTE
Carolina Ríos,NATACION,20.0,94.9,188.0,65.0,5.3,4.35,
Mauricio Vega,ATLETISMO,27.0,73.1,170.0,89.0,15.3,1.84,CICLISTA
Francisca Lagos,CICLISMO,19.0,80.09667630057803,181.0,80.0,22.8,1.09,MEDIOCAMPISTA
Mauricio Vega,RUGBY,20.0,80.09667630057803,194.0,45.0,13.866635071090046,8.2,CICLISTA
Verónica Aguilar,NATACION,21.0,96.6,200.0,78.0,10.5,3.48,DELANTERO
Mauricio Vega,NATACION,42.0,75.0,174.0,71.0,19.7,5.66,NADADOR
Diego Torres,NATACION,41.0,100.8,163.0,85.0,16.6,1.23,ATACANTE
Ricardo Álvarez,FUTBOL,33.0,85.7,195.0,83.0,3.9,7.94,PORTERO
Ricardo Álvarez,VOLEIBOL,17.0,60.7,201.0,81.0,8.5,6.57,ATACANTE
María González,RUGBY,31.0,77.6,181.0,67.0,6.8,8.53,PORTERO
Carolina Ríos,NATACIÓ,23.0,69.3,192.0,68.0,10.1,4.35,MEDIOCAMPISTA
Natalia Cruz,VOLEIBOL,35.0,89.7,175.0,58.0,13.4,8.28,DELANTERO
César Sepúlveda,VOLEIBOL,43.0,67.5,187.0,80.0,12.6,8.55,CORREDOR
Natalia Cruz,FUTBOL,32.0,101.3,171.0,55.0,14.5,2.89,NADADOR
Fernanda Jiménez,CICLISMO,32.0,58.8,199.0,54.0,20.5,5.0,PORTERO
César Sepúlveda,NATACIÓ,27.0,58.2,179.5212464589235,79.0,13.866635071090046,4.27,DEFENSA
Patricio Bravo,VOLEIBOL,26.0,55.9,165.0,69.0,6.9,2.48,MEDIOCAMPISTA
Alicia Campos,RUGBY,36.0,69.2,186.0,63.0,22.1,6.51,MEDIOCAMPISTA
Lorena Mendoza,FUTBOL,26.0,84.4,181.0,62.0,22.9,5.13,DEFENSA
Camila Díaz,NATACIÓ,36.0,66.2,160.0,78.0,17.0,9.28,CORREDOR
Carolina Ríos,BALONCESTO,25.0,56.1,187.0,67.0,13.866635071090046,2.13,
Marisol Figueroa,FUTBOL,26.0,78.5,198.0,80.0,12.9,3.29,ATACANTE
Héctor Suárez,RUGBY,16.0,80.9,169.0,89.0,15.3,8.1,PORTERO
Manuel Leal,TENNIS,30.0,72.7,172.0,48.0,13.866635071090046,6.6,PORTERO
Héctor Suárez,NATACIÓ,44.0,71.1,179.0,85.0,15.0,3.42,CICLISTA
Verónica Aguilar,BOXEO,45.0,92.6,160.0,77.0,16.1,3.74,NADADOR
Andrés Flores,TENIS,41.0,97.9,197.0,77.0,6.4,9.1,ATACANTE
